,time,numpckt
0,0.022,2
1,0.122,0
2,0.222,2
3,0.322,0
4,0.422,0
5,0.522,1
6,0.622,0
7,0.722,0
8,0.822,0
9,0.922,0
10,1.022,0
11,1.122,0
12,1.222,2
13,1.322,0
14,1.422,9
15,1.522,22
16,1.622,16
17,1.722,5
18,1.822,3
19,1.922,4
20,2.022,4
21,2.122,0
22,2.222,3
23,2.322,0
24,2.422,0
25,2.522,2
26,2.622,0
27,2.722,0
28,2.822,0
29,2.922,1
30,3.022,0
31,3.122,1
32,3.222,1
33,3.322,0
34,3.422,4
35,3.522,1
36,3.622,1
37,3.722,0
38,3.822,0
39,3.922,3
40,4.022,2
41,4.122,1
42,4.222,1
43,4.322,0
44,4.422,0
45,4.522,0
46,4.622,0
47,4.722,0
48,4.822,0
49,4.922,1
50,5.022,0
51,5.122,1
52,5.222,1
53,5.322,0
54,5.422,4
55,5.522,1
56,5.622,1
57,5.722,0
58,5.822,0
59,5.922,3
60,6.022,2
61,6.122,1
62,6.222,1
63,6.322,0
64,6.422,0
65,6.522,0
66,6.622,0
67,6.722,0
68,6.822,0
69,6.922,1
70,7.022,0
71,7.122,1
72,7.222,1
73,7.322,0
74,7.422,4
75,7.522,1
76,7.622,1
77,7.722,0
78,7.822,0
79,7.922,3
80,8.022,2
81,8.122,1
82,8.222,1
83,8.322,0
84,8.422,0
85,8.522,0
86,8.622,0
87,8.722,0
88,8.822,0
89,8.922,1
90,9.022,0
91,9.122,1
92,9.222,1
93,9.322,0
94,9.422,4
95,9.522,1
96,9.622,1
97,9.722,0
98,9.822,0
99,9.922,2
100,10.022,3
101,10.122,1
102,10.222,1
103,10.322,0
104,10.422,0
105,10.522,0
106,10.622,0
107,10.722,0
108,10.822,0
109,10.922,1
110,11.022,0
111,11.122,1
112,11.222,1
113,11.322,0
114,11.422,4
115,11.522,1
116,11.622,0
117,11.722,1
118,11.822,0
119,11.922,2
120,12.022,3
121,12.122,1
122,12.222,1
123,12.322,0
124,12.422,0
125,12.522,0
126,12.622,0
127,12.722,0
128,12.822,0
129,12.922,1
130,13.022,0
131,13.122,1
132,13.222,1
133,13.322,0
134,13.422,4
135,13.522,1
136,13.622,0
137,13.722,1
138,13.822,0
139,13.922,2
140,14.022,3
141,14.122,1
142,14.222,2
143,14.322,0
144,14.422,0
145,14.522,0
146,14.622,0
147,14.722,0
148,14.822,0
149,14.922,1
150,15.022,0
151,15.122,1
152,15.222,1
153,15.322,0
154,15.422,4
155,15.522,1
156,15.622,0
157,15.722,1
158,15.822,0
159,15.922,2
160,16.022,3
161,16.122,1
162,16.222,1
163,16.322,0
164,16.422,0
165,16.522,0
166,16.622,0
167,16.722,0
168,16.822,0
169,16.922,1
170,17.022,0
171,17.122,1
172,17.222,1
173,17.322,0
174,17.422,4
175,17.522,1
176,17.622,0
177,17.722,1
178,17.822,0
179,17.922,2
180,18.022,3
181,18.122,1
182,18.222,1
183,18.322,0
184,18.422,0
185,18.522,0
186,18.622,0
187,18.722,0
188,18.822,0
189,18.922,1
190,19.022,0
191,19.122,1
192,19.222,1
193,19.322,0
194,19.422,4
195,19.522,1
196,19.622,0
197,19.722,1
198,19.822,0
199,19.922,2
200,20.022,3
201,20.122,1
202,20.222,1
203,20.322,0
204,20.422,0
205,20.522,0
206,20.622,0
207,20.722,0
208,20.822,0
209,20.922,1
210,21.022,0
211,21.122,1
212,21.222,1
213,21.322,0
214,21.422,4
215,21.522,1
216,21.622,0
217,21.722,1
218,21.822,0
219,21.922,2
220,22.022,2
221,22.122,2
222,22.222,1
223,22.322,0
224,22.422,0
225,22.522,0
226,22.622,0
227,22.722,0
228,22.822,0
229,22.922,1
230,23.022,0
