,time,numpckt
0,0.02,1
1,0.12,0
2,0.22,2
3,0.32,0
4,0.42,5
5,0.52,0
6,0.62,2
7,0.72,1
8,0.82,0
9,0.92,1
10,1.02,2
11,1.12,1
12,1.22,2
13,1.32,1
14,1.42,2
15,1.52,0
16,1.62,0
17,1.72,1
18,1.82,2
19,1.92,3
20,2.02,1
21,2.12,0
22,2.22,3
23,2.32,1
24,2.42,4
25,2.52,0
26,2.62,1
27,2.72,1
28,2.82,1
29,2.92,0
30,3.02,3
31,3.12,0
32,3.22,2
33,3.32,1
34,3.42,1
35,3.52,0
36,3.62,0
37,3.72,1
38,3.82,1
39,3.92,4
40,4.02,0
41,4.12,0
42,4.22,1
43,4.32,3
44,4.42,6
45,4.52,1
46,4.62,0
47,4.72,0
48,4.82,1
49,4.92,0
50,5.02,2
51,5.12,0
52,5.22,4
53,5.32,0
54,5.42,0
55,5.52,1
56,5.62,1
57,5.72,0
58,5.82,1
59,5.92,4
60,6.02,0
61,6.12,0
62,6.22,2
63,6.32,3
64,6.42,4
65,6.52,0
66,6.62,0
67,6.72,3
68,6.82,0
69,6.92,0
70,7.02,2
71,7.12,0
72,7.22,1
73,7.32,3
74,7.42,0
75,7.52,0
76,7.62,0
77,7.72,0
78,7.82,3
79,7.92,4
80,8.02,0
81,8.12,0
82,8.22,1
83,8.32,3
84,8.42,5
85,8.52,0
86,8.62,0
87,8.72,1
88,8.82,1
89,8.92,2
90,9.02,2
91,9.12,0
92,9.22,2
93,9.32,5
94,9.42,2
95,9.52,2
96,9.62,1
97,9.72,0
98,9.82,1
99,9.92,1
100,10.02,3
101,10.12,0
102,10.22,1
103,10.32,2
104,10.42,5
105,10.52,0
106,10.62,1
107,10.72,0
108,10.82,1
109,10.92,0
110,11.02,3
111,11.12,0
112,11.22,2
113,11.32,1
114,11.42,1
115,11.52,0
116,11.62,1
117,11.72,1
118,11.82,0
119,11.92,2
120,12.02,1
121,12.12,1
122,12.22,1
123,12.32,2
124,12.42,4
125,12.52,1
126,12.62,0
127,12.72,1
128,12.82,1
129,12.92,0
130,13.02,3
131,13.12,0
132,13.22,2
133,13.32,2
134,13.42,0
135,13.52,1
136,13.62,0
137,13.72,1
138,13.82,0
139,13.92,2
140,14.02,1
141,14.12,1
142,14.22,2
143,14.32,1
144,14.42,5
145,14.52,1
146,14.62,0
147,14.72,1
148,14.82,1
149,14.92,0
150,15.02,3
151,15.12,0
152,15.22,2
153,15.32,1
154,15.42,1
155,15.52,1
156,15.62,0
157,15.72,1
158,15.82,0
159,15.92,2
160,16.02,1
161,16.12,1
162,16.22,1
163,16.32,2
164,16.42,4
165,16.52,1
166,16.62,0
167,16.72,1
168,16.82,1
169,16.92,0
170,17.02,3
171,17.12,0
172,17.22,2
173,17.32,1
174,17.42,1
175,17.52,0
176,17.62,1
177,17.72,1
178,17.82,0
179,17.92,2
180,18.02,1
181,18.12,1
182,18.22,1
183,18.32,1
184,18.42,6
185,18.52,0
186,18.62,1
187,18.72,0
188,18.82,1
189,18.92,0
190,19.02,3
191,19.12,1
192,19.22,1
193,19.32,2
194,19.42,0
195,19.52,1
196,19.62,0
197,19.72,1
198,19.82,0
199,19.92,2
200,20.02,2
201,20.12,0
202,20.22,2
203,20.32,0
204,20.42,6
205,20.52,0
206,20.62,1
207,20.72,0
208,20.82,1
209,20.92,0
210,21.02,3
211,21.12,0
212,21.22,2
213,21.32,3
214,21.42,0
215,21.52,1
216,21.62,0
217,21.72,1
218,21.82,1
219,21.92,1
220,22.02,1
221,22.12,2
222,22.22,1
223,22.32,1
224,22.42,5
225,22.52,1
226,22.62,0
227,22.72,1
228,22.82,1
229,22.92,0
230,23.02,3
231,23.12,0
232,23.22,2
233,23.32,1
234,23.42,1
235,23.52,1
236,23.62,0
237,23.72,1
238,23.82,0
239,23.92,2
240,24.02,0
241,24.12,2
242,24.22,2
243,24.32,0
244,24.42,6
