Time,bus5,bus6,bus8,bus4,bus7,bus9
0.0000,0.995048046,1.012231708,1.01503849,1.025436282,1.024760962,1.031835318
0.0002,0.995047987,1.012231708,1.01503861,1.025436282,1.024760962,1.031835318
0.0004,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0006,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835198
0.0008,0.995048165,1.012231708,1.01503849,1.025436401,1.024760962,1.031835318
0.0010,0.995048165,1.012231708,1.01503861,1.025436401,1.024761081,1.031835318
0.0012,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835437
0.0014,0.995048106,1.012231588,1.01503861,1.025436163,1.024761081,1.031835318
0.0016,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0018,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0020,0.995048046,1.012231827,1.01503861,1.025436163,1.024760962,1.031835318
0.0022,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835437
0.0024,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0026,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0028,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0030,0.995048165,1.012231708,1.01503861,1.025436401,1.024761081,1.031835198
0.0032,0.995048046,1.012231708,1.01503861,1.025436282,1.0247612,1.031835318
0.0034,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0036,0.995048106,1.012231708,1.01503849,1.025436163,1.024760962,1.031835318
0.0038,0.995048225,1.012231708,1.01503861,1.025436282,1.024760962,1.031835318
0.0040,0.995048165,1.012231708,1.01503849,1.025436163,1.024760962,1.031835318
0.0042,0.995048106,1.012231588,1.01503861,1.025436401,1.024760962,1.031835318
0.0044,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0046,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0048,0.995048046,1.012231708,1.01503849,1.025436282,1.024761081,1.031835198
0.0050,0.995048165,1.012231708,1.01503849,1.025436282,1.024761081,1.031835318
0.0052,0.995048165,1.012231708,1.01503849,1.025436401,1.024760962,1.031835437
0.0054,0.995048165,1.012231588,1.01503861,1.025436163,1.024760842,1.031835318
0.0056,0.995048106,1.012231708,1.01503861,1.025436163,1.024760962,1.031835318
0.0058,0.995048046,1.012231588,1.01503849,1.025436282,1.024761081,1.031835437
0.0060,0.995047987,1.012231588,1.01503861,1.025436282,1.024761081,1.031835318
0.0062,0.995048046,1.012231588,1.01503861,1.025436282,1.024761081,1.031835318
0.0064,0.995048106,1.012231588,1.01503861,1.025436163,1.024760962,1.031835318
0.0066,0.995048106,1.012231588,1.01503861,1.025436282,1.024761081,1.031835318
0.0068,0.995048106,1.012231588,1.01503849,1.025436282,1.024760962,1.031835198
0.0070,0.995048046,1.012231588,1.01503849,1.025436282,1.024761081,1.031835318
0.0072,0.995048106,1.012231588,1.01503849,1.025436282,1.024761081,1.031835198
0.0074,0.995048046,1.012231708,1.01503849,1.025436282,1.024760962,1.031835318
0.0076,0.995048046,1.012231708,1.01503849,1.025436282,1.024760962,1.031835318
0.0078,0.995048046,1.012231708,1.01503861,1.025436282,1.024760962,1.031835318
0.0080,0.995048046,1.012231588,1.01503861,1.025436282,1.024760962,1.031835318
0.0082,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0084,0.995048165,1.012231708,1.01503861,1.025436282,1.024760962,1.031835318
0.0086,0.995048046,1.012231708,1.01503861,1.025436401,1.024761081,1.031835318
0.0088,0.995048106,1.012231588,1.01503861,1.025436282,1.024761081,1.031835318
0.0090,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0092,0.995048225,1.012231708,1.01503861,1.025436282,1.024760962,1.031835437
0.0094,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0096,0.995048046,1.012231708,1.015038729,1.025436282,1.024761081,1.031835437
0.0098,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0100,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835437
0.0102,0.995048106,1.012231588,1.01503861,1.025436282,1.024761081,1.031835437
0.0104,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0106,0.995048165,1.012231708,1.01503861,1.025436401,1.024760962,1.031835318
0.0108,0.995048106,1.012231827,1.01503861,1.025436282,1.024761081,1.031835318
0.0110,0.995048106,1.012231708,1.01503861,1.025436282,1.024760962,1.031835318
0.0112,0.995048046,1.012231588,1.01503849,1.025436163,1.024761081,1.031835318
0.0114,0.995048225,1.012231588,1.01503861,1.025436401,1.024760962,1.031835318
0.0116,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0118,0.995048106,1.012231708,1.01503861,1.025436282,1.024760962,1.031835437
0.0120,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0122,0.995048106,1.012231708,1.01503861,1.025436282,1.024760962,1.031835437
0.0124,0.995048046,1.012231588,1.01503861,1.025436282,1.024760962,1.031835318
0.0126,0.995048106,1.012231588,1.01503861,1.025436282,1.024760962,1.031835318
0.0128,0.995048106,1.012231827,1.01503861,1.025436282,1.024760962,1.031835318
0.0130,0.995048106,1.012231588,1.01503849,1.025436282,1.024760962,1.031835318
0.0132,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0134,0.995048046,1.012231588,1.01503849,1.025436282,1.024761081,1.031835318
0.0136,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0138,0.995048165,1.012231588,1.01503861,1.025436282,1.024760962,1.031835198
0.0140,0.995048046,1.012231588,1.01503861,1.025436282,1.024760962,1.031835318
0.0142,0.995048106,1.012231588,1.01503849,1.025436282,1.024760962,1.031835318
0.0144,0.995048046,1.012231588,1.01503849,1.025436282,1.024761081,1.031835318
0.0146,0.995048046,1.012231588,1.01503861,1.025436163,1.024760962,1.031835318
0.0148,0.995048046,1.012231588,1.01503861,1.025436282,1.024760962,1.031835318
0.0150,0.995048165,1.012231708,1.01503849,1.025436282,1.024761081,1.031835198
0.0152,0.995048106,1.012231708,1.01503849,1.025436282,1.024760962,1.031835318
0.0154,0.995048046,1.012231588,1.01503861,1.025436282,1.024760962,1.031835318
0.0156,0.995048165,1.012231708,1.01503849,1.025436282,1.024760962,1.031835318
0.0158,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0160,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835437
0.0162,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835437
0.0164,0.995048106,1.012231588,1.01503861,1.025436282,1.024760962,1.031835318
0.0166,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0168,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0170,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0172,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0174,0.995048165,1.012231708,1.01503849,1.025436282,1.024761081,1.031835437
0.0176,0.995048106,1.012231708,1.01503861,1.025436163,1.024760962,1.031835318
0.0178,0.995048225,1.012231708,1.01503861,1.025436401,1.024761081,1.031835437
0.0180,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0182,0.995048106,1.012231708,1.015038729,1.025436282,1.024761081,1.031835318
0.0184,0.995048106,1.012231827,1.01503861,1.025436282,1.024761081,1.031835437
0.0186,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0188,0.995048165,1.012231708,1.01503861,1.025436401,1.024760962,1.031835437
0.0190,0.995048165,1.012231708,1.01503861,1.025436163,1.024760962,1.031835318
0.0192,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0194,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0196,0.995048106,1.012231708,1.01503861,1.025436401,1.024761081,1.031835318
0.0198,0.995048106,1.012231708,1.01503861,1.025436282,1.024760962,1.031835318
0.0200,0.995048165,1.012231708,1.01503861,1.025436401,1.024760962,1.031835437
0.0202,0.995048106,1.012231588,1.01503861,1.025436282,1.024761081,1.031835318
0.0204,0.995048106,1.012231708,1.01503849,1.025436163,1.024760962,1.031835318
0.0206,0.995048106,1.012231708,1.01503849,1.025436282,1.024760962,1.031835318
0.0208,0.995048046,1.012231708,1.01503861,1.025436163,1.024761081,1.031835318
0.0210,0.995048165,1.012231588,1.01503861,1.025436163,1.024760962,1.031835318
0.0212,0.995048106,1.012231708,1.01503849,1.025436282,1.024761081,1.031835318
0.0214,0.995048106,1.012231588,1.01503861,1.025436282,1.024760962,1.031835198
0.0216,0.995048106,1.012231708,1.01503861,1.025436163,1.024761081,1.031835318
0.0218,0.995048106,1.012231708,1.01503849,1.025436163,1.024761081,1.031835318
0.0220,0.995048046,1.012231588,1.01503849,1.025436282,1.024761081,1.031835318
0.0222,0.995048106,1.012231588,1.01503861,1.025436282,1.024760962,1.031835318
0.0224,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0226,0.995048106,1.012231708,1.01503861,1.025436163,1.024760962,1.031835318
0.0228,0.995048046,1.012231588,1.01503861,1.025436282,1.024760962,1.031835318
0.0230,0.995048106,1.012231588,1.01503849,1.025436282,1.024761081,1.031835318
0.0232,0.995048106,1.012231588,1.01503861,1.025436401,1.024760962,1.031835318
0.0234,0.995048106,1.012231708,1.01503861,1.025436282,1.024760962,1.031835318
0.0236,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0238,0.995048046,1.012231588,1.01503861,1.025436163,1.024761081,1.031835318
0.0240,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0242,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0244,0.995048106,1.012231708,1.01503861,1.025436282,1.024760962,1.031835318
0.0246,0.995048106,1.012231588,1.01503861,1.025436163,1.024760962,1.031835318
0.0248,0.995048106,1.012231588,1.01503861,1.025436282,1.024761081,1.031835318
0.0250,0.995048106,1.012231708,1.01503861,1.025436282,1.024760962,1.031835318
0.0252,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0254,0.995048046,1.012231708,1.01503861,1.025436282,1.024760962,1.031835318
0.0256,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0258,0.995048106,1.012231588,1.01503861,1.025436282,1.024761081,1.031835318
0.0260,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0262,0.995048106,1.012231708,1.01503861,1.025436401,1.024761081,1.031835437
0.0264,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0266,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0268,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0270,0.995048165,1.012231588,1.01503861,1.025436282,1.024760962,1.031835318
0.0272,0.995048106,1.012231708,1.01503849,1.025436282,1.024761081,1.031835318
0.0274,0.995048106,1.012231588,1.01503861,1.025436401,1.024760962,1.031835318
0.0276,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0278,0.995048165,1.012231588,1.01503861,1.025436282,1.024761081,1.031835318
0.0280,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0282,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0284,0.995048165,1.012231708,1.01503849,1.025436163,1.024760962,1.031835318
0.0286,0.995048165,1.012231708,1.01503861,1.025436282,1.024760962,1.031835318
0.0288,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0290,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0292,0.995048106,1.012231708,1.01503861,1.025436282,1.024760962,1.031835437
0.0294,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0296,0.995048106,1.012231588,1.01503861,1.025436282,1.024761081,1.031835318
0.0298,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0300,0.995048106,1.012231588,1.01503861,1.025436282,1.024760962,1.031835318
0.0302,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0304,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0306,0.995047987,1.012231588,1.01503849,1.025436282,1.024760962,1.031835318
0.0308,0.995048106,1.012231708,1.01503849,1.025436282,1.024760962,1.031835318
0.0310,0.995048046,1.012231588,1.01503849,1.025436282,1.024760962,1.031835318
0.0312,0.995048106,1.012231588,1.01503849,1.025436282,1.024760962,1.031835437
0.0314,0.995048106,1.012231588,1.01503861,1.025436282,1.024761081,1.031835318
0.0316,0.995048046,1.012231588,1.01503849,1.025436163,1.024760962,1.031835318
0.0318,0.995047987,1.012231708,1.01503861,1.025436282,1.024761081,1.031835437
0.0320,0.995048106,1.012231708,1.01503861,1.025436163,1.024761081,1.031835318
0.0322,0.995048046,1.012231588,1.01503861,1.025436401,1.024760962,1.031835318
0.0324,0.995048106,1.012231708,1.01503861,1.025436163,1.024760962,1.031835318
0.0326,0.995048165,1.012231708,1.01503849,1.025436282,1.024761081,1.031835318
0.0328,0.995048106,1.012231588,1.01503861,1.025436401,1.024761081,1.031835318
0.0330,0.995048225,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0332,0.995048106,1.012231708,1.01503861,1.025436401,1.024761081,1.031835318
0.0334,0.995048106,1.012231708,1.01503861,1.025436282,1.024760962,1.031835437
0.0336,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835437
0.0338,0.995048106,1.012231588,1.01503861,1.025436282,1.024761081,1.031835437
0.0340,0.995048165,1.012231708,1.015038729,1.025436163,1.024761081,1.031835318
0.0342,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835437
0.0344,0.995048106,1.012231708,1.01503861,1.025436401,1.024761081,1.031835318
0.0346,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0348,0.995048165,1.012231708,1.01503861,1.025436401,1.024761081,1.031835318
0.0350,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0352,0.995048106,1.012231708,1.01503861,1.025436401,1.024761081,1.031835437
0.0354,0.995048106,1.012231588,1.01503861,1.025436282,1.024760962,1.031835318
0.0356,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0358,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835437
0.0360,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0362,0.995048165,1.012231708,1.01503861,1.025436282,1.024760962,1.031835318
0.0364,0.995048165,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0366,0.995048106,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
0.0368,0.995048106,1.012231708,1.015038729,1.025436282,1.024761081,1.031835318
0.0370,0.995048046,1.012231708,1.01503861,1.025436163,1.024761081,1.031835318
0.0372,0.995048106,1.012231588,1.01503861,1.025436401,1.024760962,1.031835437
0.0374,0.995048106,1.012231708,1.01503861,1.025436401,1.024761081,1.031835318
0.0376,0.995048106,1.012231708,1.01503861,1.025436282,1.024760962,1.031835318
0.0378,0.995048106,1.012231708,1.01503849,1.025436282,1.024761081,1.031835318
0.0380,0.995048106,1.012231708,1.01503849,1.025436282,1.024760962,1.031835318
0.0382,0.995048046,1.012231588,1.01503849,1.025436282,1.024761081,1.031835318
0.0384,0.995048106,1.012231588,1.01503861,1.025436282,1.024760962,1.031835318
0.0386,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835198
0.0388,0.995048046,1.012231708,1.01503861,1.025436282,1.024760962,1.031835318
0.0390,0.995048046,1.012231588,1.01503849,1.025436282,1.024760962,1.031835318
0.0392,0.995048106,1.012231588,1.01503849,1.025436282,1.024760962,1.031835318
0.0394,0.995048046,1.012231588,1.01503849,1.025436282,1.024760962,1.031835318
0.0396,0.995048046,1.012231588,1.01503849,1.025436163,1.024760962,1.031835318
0.0398,0.995047987,1.012231588,1.01503861,1.025436163,1.024761081,1.031835318
0.0400,0.995048046,1.012231708,1.01503849,1.025436282,1.024761081,1.031835318
0.0402,0.995048046,1.012231708,1.01503861,1.025436282,1.024761081,1.031835318
