"No.","Time","Source","Destination","Protocol","Length","Info"
"1","08:36:43.616640","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1 Ack=1 Win=8209 Len=0"
"2","08:36:43.675607","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"3","08:36:43.706620","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"4","08:36:43.706708","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=1 Ack=87 Win=62828 Len=0"
"5","08:36:43.737172","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"6","08:36:43.767506","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"7","08:36:43.767624","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=1 Ack=173 Win=62742 Len=0"
"8","08:36:43.791209","SiemensE_05:30:6d","Iec-Tc57_01:00:01","GOOSE","169",""
"9","08:36:43.794703","131.180.164.100","131.180.166.200","TLSv1.2","420","Application Data"
"10","08:36:43.798194","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"11","08:36:43.827368","131.180.164.100","131.180.166.200","TLSv1.2","245","Application Data"
"12","08:36:43.838600","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=216 Ack=558 Win=8207 Len=0"
"13","08:36:44.036781","UkGridSo_0c:6d:7a","Iec-Tc57_01:00:00","GOOSE","181",""
"14","08:36:44.044924","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"15","08:36:44.089686","ArubaAHe_56:fc:b2","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/00:0a:dc:67:86:c0  Cost = 200000  Port = 0x804e"
"16","08:36:44.101116","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=558 Ack=259 Win=62656 Len=0"
"17","08:36:44.103473","131.180.164.100","131.180.166.200","TLSv1.2","151","Application Data"
"18","08:36:44.113635","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=259 Ack=655 Win=8207 Len=0"
"19","08:36:44.165883","131.180.164.29","224.0.0.107","PTPv2","96","Peer_Delay_Req Message"
"20","08:36:44.166073","131.180.164.81","224.0.0.107","PTPv2","96","Peer_Delay_Resp Message"
"21","08:36:44.166202","131.180.164.81","224.0.0.107","PTPv2","96","Peer_Delay_Resp_Follow_Up Message"
"22","08:36:44.167812","131.180.164.29","224.0.0.107","PTPv2","96","Peer_Delay_Resp_Follow_Up Message"
"23","08:36:44.177473","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"24","08:36:44.185172","131.180.164.100","131.180.166.200","TLSv1.2","91","Application Data"
"25","08:36:44.195559","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=302 Ack=692 Win=8206 Len=0"
"26","08:36:44.199792","131.180.164.100","131.180.166.200","TLSv1.2","259","Application Data"
"27","08:36:44.201062","131.180.166.200","131.180.164.100","TLSv1.2","165","Application Data"
"28","08:36:44.207399","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"29","08:36:44.207446","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=897 Ack=456 Win=64000 Len=0"
"30","08:36:44.236844","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"31","08:36:44.238875","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"32","08:36:44.238960","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"33","08:36:44.239041","131.180.164.100","131.180.166.200","TLSv1.2","603","Application Data"
"34","08:36:44.239154","131.180.164.100","131.180.166.200","TLSv1.2","105","Application Data"
"35","08:36:44.239236","131.180.164.100","131.180.166.200","TLSv1.2","231","Application Data"
"36","08:36:44.239255","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=499 Ack=2549 Win=8212 Len=0"
"37","08:36:44.239347","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=499 Ack=4201 Win=8212 Len=0"
"38","08:36:44.239482","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=499 Ack=4801 Win=8210 Len=0"
"39","08:36:44.249530","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=499 Ack=4978 Win=8209 Len=0"
"40","08:36:44.268466","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"41","08:36:44.294684","131.180.164.100","131.180.166.200","TLSv1.2","333","Application Data"
"42","08:36:44.299518","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"43","08:36:44.320081","131.180.164.100","131.180.166.200","TLSv1.2","91","Application Data"
"44","08:36:44.320171","131.180.164.100","131.180.166.200","TLSv1.2","91","Application Data"
"45","08:36:44.320610","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=585 Ack=5331 Win=8208 Len=0"
"46","08:36:44.330894","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"47","08:36:44.332446","131.180.164.100","131.180.166.200","TLSv1.2","91","Application Data"
"48","08:36:44.342643","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=628 Ack=5368 Win=8207 Len=0"
"49","08:36:44.355329","131.180.164.29","224.0.1.129","PTPv2","106","Announce Message"
"50","08:36:44.356208","131.180.164.29","224.0.1.129","PTPv2","88","Sync Message"
"51","08:36:44.359971","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"52","08:36:44.389513","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"53","08:36:44.389596","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=5368 Ack=714 Win=63742 Len=0"
"54","08:36:44.419686","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"55","08:36:44.450019","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"56","08:36:44.450100","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=5368 Ack=800 Win=63656 Len=0"
"57","08:36:44.470082","UkGridSo_97:11:25","Iec_00:01:00","HSR/PRP","66","PRP Supervision"
"58","08:36:44.470082","UkGridSo_97:11:25","Iec_00:01:00","HSR/PRP","66","PRP Supervision"
"59","08:36:44.480688","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"60","08:36:44.510513","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"61","08:36:44.510595","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=5368 Ack=886 Win=63570 Len=0"
"62","08:36:44.540589","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"63","08:36:44.571941","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"64","08:36:44.572014","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=5368 Ack=972 Win=63484 Len=0"
"65","08:36:44.603392","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"66","08:36:44.633945","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"67","08:36:44.634027","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=5368 Ack=1058 Win=63398 Len=0"
"68","08:36:44.634591","131.180.164.100","131.180.166.200","TLSv1.2","938","Application Data"
"69","08:36:44.637058","SiemensE_05:30:61","Iec-Tc57_01:00:00","GOOSE","160",""
"70","08:36:44.645633","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1058 Ack=6252 Win=8212 Len=0"
"71","08:36:44.664893","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"72","08:36:44.695434","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"73","08:36:44.695531","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=6252 Ack=1144 Win=63312 Len=0"
"74","08:36:44.725919","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"75","08:36:44.756432","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"76","08:36:44.756511","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=6252 Ack=1230 Win=63226 Len=0"
"77","08:36:44.783936","131.180.164.81","224.0.0.107","PTPv2","96","Peer_Delay_Req Message"
"78","08:36:44.787362","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"79","08:36:44.796713","131.180.164.29","224.0.0.107","PTPv2","96","Peer_Delay_Resp Message"
"80","08:36:44.818384","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"81","08:36:44.818460","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=6252 Ack=1316 Win=63140 Len=0"
"82","08:36:44.849944","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"83","08:36:44.861962","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"84","08:36:44.862051","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"85","08:36:44.862114","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"86","08:36:44.862178","131.180.164.100","131.180.166.200","TLSv1.2","1289","Application Data"
"87","08:36:44.862285","131.180.164.100","131.180.166.200","TLSv1.2","688","Application Data"
"88","08:36:44.862394","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1359 Ack=7904 Win=8212 Len=0"
"89","08:36:44.862394","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1359 Ack=9556 Win=8212 Len=0"
"90","08:36:44.862508","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1359 Ack=11208 Win=8212 Len=0"
"91","08:36:44.862623","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1359 Ack=13077 Win=8212 Len=0"
"92","08:36:44.879859","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"93","08:36:44.924866","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"94","08:36:44.924970","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=13077 Ack=1445 Win=63011 Len=0"
"95","08:36:44.955293","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"96","08:36:44.955381","131.180.164.100","131.180.166.200","TLSv1.2","1337","Application Data"
"97","08:36:44.955889","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1445 Ack=14729 Win=8212 Len=0"
"98","08:36:44.965607","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1445 Ack=16012 Win=8207 Len=0"
"99","08:36:44.971399","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"100","08:36:45.002529","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"101","08:36:45.002626","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=16012 Ack=1531 Win=62925 Len=0"
"102","08:36:45.033293","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"103","08:36:45.036916","UkGridSo_0c:6d:7a","Iec-Tc57_01:00:00","GOOSE","181",""
"104","08:36:45.064957","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"105","08:36:45.065059","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=16012 Ack=1617 Win=62839 Len=0"
"106","08:36:45.094836","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"107","08:36:45.125348","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"108","08:36:45.125439","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=16012 Ack=1703 Win=62753 Len=0"
"109","08:36:45.166400","131.180.164.100","131.180.166.200","TLSv1.2","1232","Application Data"
"110","08:36:45.175955","131.180.164.29","224.0.0.107","PTPv2","96","Peer_Delay_Req Message"
"111","08:36:45.176086","131.180.164.81","224.0.0.107","PTPv2","96","Peer_Delay_Resp Message"
"112","08:36:45.176201","131.180.164.81","224.0.0.107","PTPv2","96","Peer_Delay_Resp_Follow_Up Message"
"113","08:36:45.177661","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1703 Ack=17190 Win=8212 Len=0"
"114","08:36:45.186252","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"115","08:36:45.216302","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"116","08:36:45.216387","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=17190 Ack=1789 Win=62667 Len=0"
