"No.","Time","Source","Destination","Protocol","Length","Info"
"1","08:34:41.210994","131.180.164.100","131.180.5.38","SMB2","306","Create Request File: apresekal\\Code\\python-iec16850\\try.pcap"
"2","08:34:41.211071","131.180.164.100","131.180.5.38","SMB2","314","Create Request File: apresekal\\Code\\python-iec16850\\goose.pcap"
"3","08:34:41.211974","131.180.5.38","131.180.164.100","SMB2","298","Create Response File: apresekal\\Code\\python-iec16850\\try.pcap"
"4","08:34:41.212107","131.180.5.38","131.180.164.100","SMB2","298","Create Response File: apresekal\\Code\\python-iec16850\\goose.pcap"
"5","08:34:41.212240","131.180.164.100","131.180.5.38","TCP","54","63329  >  445 [ACK] Seq=513 Ack=489 Win=8207 Len=0"
"6","08:34:41.212845","131.180.164.100","131.180.5.38","SMB2","146","Close Request File: apresekal\\Code\\python-iec16850\\try.pcap"
"7","08:34:41.212869","131.180.164.100","131.180.5.38","SMB2","146","Close Request File: apresekal\\Code\\python-iec16850\\goose.pcap"
"8","08:34:41.213286","131.180.5.38","131.180.164.100","SMB2","182","Close Response"
"9","08:34:41.213404","131.180.5.38","131.180.164.100","SMB2","182","Close Response"
"10","08:34:41.226095","131.180.164.100","131.180.5.38","TCP","54","63329  >  445 [ACK] Seq=697 Ack=745 Win=8212 Len=0"
"11","08:34:41.251859","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"12","08:34:41.282253","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"13","08:34:41.282359","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=1 Ack=87 Win=63196 Len=0"
"14","08:34:41.312230","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"15","08:34:41.343298","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"16","08:34:41.343370","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=1 Ack=173 Win=63110 Len=0"
"17","08:34:41.353025","131.180.164.100","131.180.166.200","TLSv1.2","875","Application Data"
