"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","100.7.0.16","100.0.0.11","TCP","116","991  >  41610 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=50 TSval=11413912 TSecr=220204453"
"2","0.000019910","100.0.0.11","100.7.0.16","TCP","66","41610  >  991 [ACK] Seq=1 Ack=51 Win=83 Len=0 TSval=220205517 TSecr=11413912"
"3","0.057012655","100.7.0.15","100.0.0.11","TCP","96","991  >  40760 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=30 TSval=1348058842 TSecr=2008827336"
"4","0.057032011","100.0.0.11","100.7.0.15","TCP","66","40760  >  991 [ACK] Seq=1 Ack=31 Win=83 Len=0 TSval=2008828387 TSecr=1348058842"
"5","0.108061636","100.7.0.18","100.0.0.11","TCP","124","991  >  33564 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=58 TSval=4184661101 TSecr=1493868130"
"6","0.108081922","100.0.0.11","100.7.0.18","TCP","66","33564  >  991 [ACK] Seq=1 Ack=59 Win=83 Len=0 TSval=1493869201 TSecr=4184661101"
"7","0.255633660","100.7.0.17","100.0.0.11","TCP","106","991  >  60614 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=40 TSval=1173211329 TSecr=2185423862"
"8","0.255653356","100.0.0.11","100.7.0.17","TCP","66","60614  >  991 [ACK] Seq=1 Ack=41 Win=83 Len=0 TSval=2185424902 TSecr=1173211329"
"9","0.280946190","100.7.0.19","100.0.0.11","TCP","96","991  >  50984 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=30 TSval=2873884345 TSecr=2678125991"
"10","0.280963980","100.0.0.11","100.7.0.19","TCP","66","50984  >  991 [ACK] Seq=1 Ack=31 Win=83 Len=0 TSval=2678127017 TSecr=2873884345"
"11","0.561460174","100.7.0.11","100.0.0.11","TCP","110","991  >  45964 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=44 TSval=605240320 TSecr=3969651370"
"12","0.561480167","100.0.0.11","100.7.0.11","TCP","66","45964  >  991 [ACK] Seq=1 Ack=45 Win=83 Len=0 TSval=3969652524 TSecr=605240320"
"13","0.576884238","100.7.0.13","100.0.0.11","TCP","132","991  >  47728 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=66 TSval=3812957771 TSecr=2374078131"
