"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","100.7.0.18","100.0.0.11","TCP","124","991  >  33564 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=58 TSval=4185383494 TSecr=1494590436"
"2","0.000013333","100.0.0.11","100.7.0.18","TCP","66","33564  >  991 [ACK] Seq=1 Ack=59 Win=83 Len=0 TSval=1494591594 TSecr=4185383494"
"3","0.015786293","100.7.0.17","100.0.0.11","TCP","106","991  >  60614 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=40 TSval=1173933591 TSecr=2186146056"
"4","0.015796589","100.0.0.11","100.7.0.17","TCP","66","60614  >  991 [ACK] Seq=1 Ack=41 Win=83 Len=0 TSval=2186147164 TSecr=1173933591"
"5","0.070370684","100.7.0.16","100.0.0.11","TCP","116","991  >  41610 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=50 TSval=12136484 TSecr=220926983"
"6","0.070384845","100.0.0.11","100.7.0.16","TCP","66","41610  >  991 [ACK] Seq=1 Ack=51 Win=83 Len=0 TSval=220928089 TSecr=12136484"
"7","0.089040127","100.7.0.14","100.0.0.11","TCP","126","991  >  34836 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=60 TSval=2718577109 TSecr=3577157288"
"8","0.089052099","100.0.0.11","100.7.0.14","TCP","66","34836  >  991 [ACK] Seq=1 Ack=61 Win=83 Len=0 TSval=3577158468 TSecr=2718577109"
"9","0.127543728","100.7.0.15","100.0.0.11","TCP","96","991  >  40760 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=30 TSval=1348781414 TSecr=2009549938"
"10","0.127558088","100.0.0.11","100.7.0.15","TCP","66","40760  >  991 [ACK] Seq=1 Ack=31 Win=83 Len=0 TSval=2009550959 TSecr=1348781414"
"11","0.564993492","100.7.0.20","100.0.0.11","TCP","124","991  >  60272 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=58 TSval=3606374472 TSecr=3846293322"
"12","0.565007363","100.0.0.11","100.7.0.20","TCP","66","60272  >  991 [ACK] Seq=1 Ack=59 Win=83 Len=0 TSval=3846294426 TSecr=3606374472"
"13","0.591067639","100.7.0.13","100.0.0.11","TCP","132","991  >  47728 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=66 TSval=3813680287 TSecr=2374800718"
"14","0.591081000","100.0.0.11","100.7.0.13","TCP","66","47728  >  991 [ACK] Seq=1 Ack=67 Win=83 Len=0 TSval=2374801800 TSecr=3813680287"
"15","0.652410615","100.7.0.11","100.0.0.11","TCP","110","991  >  45964 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=44 TSval=605962913 TSecr=3970373985"
"16","0.652424820","100.0.0.11","100.7.0.11","TCP","66","45964  >  991 [ACK] Seq=1 Ack=45 Win=83 Len=0 TSval=3970375117 TSecr=605962913"
"17","0.869035849","100.7.0.12","100.0.0.11","TCP","132","991  >  59390 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=66 TSval=3936379793 TSecr=2229427349"
"18","0.869049590","100.0.0.11","100.7.0.12","TCP","66","59390  >  991 [ACK] Seq=1 Ack=67 Win=83 Len=0 TSval=2229428500 TSecr=3936379793"
"19","1.022406626","100.7.0.19","100.0.0.11","TCP","96","991  >  50984 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=30 TSval=2874607588 TSecr=2678849218"
"20","1.022419251","100.0.0.11","100.7.0.19","TCP","66","50984  >  991 [ACK] Seq=1 Ack=31 Win=83 Len=0 TSval=2678850260 TSecr=2874607588"
"21","1.065699989","100.7.0.17","100.0.0.11","TCP","106","991  >  60614 [PSH, ACK] Seq=41 Ack=1 Win=85 Len=40 TSval=1173934641 TSecr=2186147164"
"22","1.065709099","100.0.0.11","100.7.0.17","TCP","66","60614  >  991 [ACK] Seq=1 Ack=81 Win=83 Len=0 TSval=2186148214 TSecr=1173934641"
"23","1.140024434","100.7.0.15","100.0.0.11","TCP","96","991  >  40760 [PSH, ACK] Seq=31 Ack=1 Win=85 Len=30 TSval=1348782426 TSecr=2009550959"
"24","1.140035905","100.0.0.11","100.7.0.15","TCP","66","40760  >  991 [ACK] Seq=1 Ack=61 Win=83 Len=0 TSval=2009551971 TSecr=1348782426"
"25","1.189765568","100.7.0.16","100.0.0.11","TCP","116","991  >  41610 [PSH, ACK] Seq=51 Ack=1 Win=85 Len=50 TSval=12137603 TSecr=220928089"
"26","1.189778638","100.0.0.11","100.7.0.16","TCP","66","41610  >  991 [ACK] Seq=1 Ack=101 Win=83 Len=0 TSval=220929208 TSecr=12137603"
"27","1.200926787","100.7.0.18","100.0.0.11","TCP","124","991  >  33564 [PSH, ACK] Seq=59 Ack=1 Win=85 Len=58 TSval=4185384695 TSecr=1494591594"
"28","1.200936904","100.0.0.11","100.7.0.18","TCP","66","33564  >  991 [ACK] Seq=1 Ack=117 Win=83 Len=0 TSval=1494592795 TSecr=4185384695"
"29","1.297014626","100.7.0.14","100.0.0.11","TCP","126","991  >  34836 [PSH, ACK] Seq=61 Ack=1 Win=85 Len=60 TSval=2718578317 TSecr=3577158468"
"30","1.297028948","100.0.0.11","100.7.0.14","TCP","66","34836  >  991 [ACK] Seq=1 Ack=121 Win=83 Len=0 TSval=3577159676 TSecr=2718578317"
"31","1.699441649","100.7.0.20","100.0.0.11","TCP","124","991  >  60272 [PSH, ACK] Seq=59 Ack=1 Win=85 Len=58 TSval=3606375607 TSecr=3846294426"
"32","1.699455168","100.0.0.11","100.7.0.20","TCP","66","60272  >  991 [ACK] Seq=1 Ack=117 Win=83 Len=0 TSval=3846295561 TSecr=3606375607"
"33","1.731836163","100.7.0.13","100.0.0.11","TCP","132","991  >  47728 [PSH, ACK] Seq=67 Ack=1 Win=85 Len=66 TSval=3813681428 TSecr=2374801800"
"34","1.731848823","100.0.0.11","100.7.0.13","TCP","66","47728  >  991 [ACK] Seq=1 Ack=133 Win=83 Len=0 TSval=2374802941 TSecr=3813681428"
"35","1.754519175","100.7.0.11","100.0.0.11","TCP","110","991  >  45964 [PSH, ACK] Seq=45 Ack=1 Win=85 Len=44 TSval=605964015 TSecr=3970375117"
"36","1.754531167","100.0.0.11","100.7.0.11","TCP","66","45964  >  991 [ACK] Seq=1 Ack=89 Win=83 Len=0 TSval=3970376219 TSecr=605964015"
"37","2.033015026","100.7.0.12","100.0.0.11","TCP","132","991  >  59390 [PSH, ACK] Seq=67 Ack=1 Win=85 Len=66 TSval=3936380957 TSecr=2229428500"
"38","2.033027726","100.0.0.11","100.7.0.12","TCP","66","59390  >  991 [ACK] Seq=1 Ack=133 Win=83 Len=0 TSval=2229429664 TSecr=3936380957"
"39","2.043974791","100.7.0.19","100.0.0.11","TCP","96","991  >  50984 [PSH, ACK] Seq=31 Ack=1 Win=85 Len=30 TSval=2874608609 TSecr=2678850260"
"40","2.043990034","100.0.0.11","100.7.0.19","TCP","66","50984  >  991 [ACK] Seq=1 Ack=61 Win=83 Len=0 TSval=2678851281 TSecr=2874608609"
