"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","100.7.0.13","100.0.0.11","TCP","132","991  >  36616 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=66 TSval=3824372460 TSecr=2385492842"
"2","0.000013728","100.0.0.11","100.7.0.13","TCP","66","36616  >  991 [ACK] Seq=1 Ack=67 Win=83 Len=0 TSval=2385493973 TSecr=3824372460"
"3","0.012177335","100.7.0.20","100.0.0.11","TCP","124","991  >  34906 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=58 TSval=3617066683 TSecr=3856985555"
"4","0.012188952","100.0.0.11","100.7.0.20","TCP","66","34906  >  991 [ACK] Seq=1 Ack=59 Win=83 Len=0 TSval=3856986637 TSecr=3617066683"
"5","0.072203601","100.7.0.18","100.0.0.11","TCP","124","991  >  34304 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=58 TSval=4196076330 TSecr=1505283217"
"6","0.072215649","100.0.0.11","100.7.0.18","TCP","66","34304  >  991 [ACK] Seq=1 Ack=59 Win=83 Len=0 TSval=1505284430 TSecr=4196076330"
"7","0.125817584","100.7.0.17","100.0.0.11","TCP","106","991  >  42932 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=40 TSval=1184626465 TSecr=2196838985"
"8","0.125829232","100.0.0.11","100.7.0.17","TCP","66","42932  >  991 [ACK] Seq=1 Ack=41 Win=83 Len=0 TSval=2196840038 TSecr=1184626465"
"9","0.206096569","100.7.0.16","100.0.0.11","TCP","116","991  >  40906 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=50 TSval=22829383 TSecr=231619921"
"10","0.206108354","100.0.0.11","100.7.0.16","TCP","66","40906  >  991 [ACK] Seq=1 Ack=51 Win=83 Len=0 TSval=231620988 TSecr=22829383"
"11","0.273379261","100.7.0.14","100.0.0.11","TCP","126","991  >  51270 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=60 TSval=2729270057 TSecr=3587850232"
"12","0.273395202","100.0.0.11","100.7.0.14","TCP","66","51270  >  991 [ACK] Seq=1 Ack=61 Win=83 Len=0 TSval=3587851416 TSecr=2729270057"
"13","0.437440189","100.7.0.15","100.0.0.11","TCP","96","991  >  48110 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=30 TSval=1359474487 TSecr=2020242989"
"14","0.437453817","100.0.0.11","100.7.0.15","TCP","66","48110  >  991 [ACK] Seq=1 Ack=31 Win=83 Len=0 TSval=2020244032 TSecr=1359474487"
"15","0.528655509","100.7.0.19","100.0.0.11","TCP","96","991  >  55904 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=30 TSval=2885299858 TSecr=2689541521"
"16","0.528668266","100.0.0.11","100.7.0.19","TCP","66","55904  >  991 [ACK] Seq=1 Ack=31 Win=83 Len=0 TSval=2689542530 TSecr=2885299858"
"17","0.597106456","100.7.0.12","100.0.0.11","TCP","132","991  >  50518 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=66 TSval=3947072285 TSecr=2240119820"
